Gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
SH3RF31	3.62E-27	0.72257169	0.565	0.262	6.03E-23	Inh_3	SH3RF3
SRRM42	7.81E-27	0.727710189	0.677	0.391	1.30E-22	Inh_3	SRRM4
MAGI11	1.15E-26	0.629056997	0.823	0.606	1.92E-22	Inh_3	MAGI1
FAR2	4.36E-26	0.791293152	0.401	0.145	7.25E-22	Inh_3	FAR2
OXR12	6.00E-26	0.601334158	0.845	0.634	9.98E-22	Inh_3	OXR1
CADPS1	1.11E-25	0.615129467	0.836	0.611	1.84E-21	Inh_3	CADPS
ENTPD31	3.00E-24	0.603705758	0.254	0.069	5.00E-20	Inh_3	ENTPD3
SLC4A7	4.47E-24	0.683495083	0.31	0.099	7.44E-20	Inh_3	SLC4A7
LRRFIP1	3.98E-23	0.631044821	0.552	0.264	6.61E-19	Inh_3	LRRFIP1
DCX	4.30E-23	0.583072288	0.254	0.071	7.16E-19	Inh_3	DCX
CACNG22	7.00E-23	0.74055314	0.409	0.164	1.16E-18	Inh_3	CACNG2
GALNT71	1.11E-22	0.615031649	0.362	0.129	1.84E-18	Inh_3	GALNT7
MTSS11	3.28E-22	0.61421384	0.384	0.144	5.45E-18	Inh_3	MTSS1
RBFOX13	6.89E-22	0.336149473	1	0.961	1.15E-17	Inh_3	RBFOX1
OSBPL10	1.91E-21	0.582889033	0.353	0.13	3.17E-17	Inh_3	OSBPL10
FMN12	3.06E-21	0.744606059	0.517	0.26	5.09E-17	Inh_3	FMN1
SCAMP51	3.40E-21	0.588029283	0.453	0.192	5.65E-17	Inh_3	SCAMP5
MAGI21	1.89E-20	0.369991406	0.957	0.914	3.15E-16	Inh_3	MAGI2
FAM189A12	4.56E-20	0.565883913	0.539	0.266	7.58E-16	Inh_3	FAM189A1
NDST32	5.33E-20	0.655671542	0.522	0.256	8.86E-16	Inh_3	NDST3
SUPT3H	1.22E-19	0.625335515	0.582	0.319	2.03E-15	Inh_3	SUPT3H
TIAM12	2.75E-19	0.600966095	0.547	0.285	4.57E-15	Inh_3	TIAM1
GRIA11	3.15E-19	0.517268153	0.828	0.589	5.24E-15	Inh_3	GRIA1
RASGRF22	4.00E-19	0.549123764	0.53	0.263	6.65E-15	Inh_3	RASGRF2
GRIN2B2	5.50E-19	0.47652817	0.828	0.541	9.15E-15	Inh_3	GRIN2B
RASAL21	6.18E-19	0.54096224	0.75	0.478	1.03E-14	Inh_3	RASAL2
CACNA1A3	6.27E-19	0.479020819	0.871	0.638	1.04E-14	Inh_3	CACNA1A
HCN12	1.03E-18	0.621296163	0.647	0.401	1.71E-14	Inh_3	HCN1
KCNC1	1.49E-18	0.608114817	0.323	0.123	2.49E-14	Inh_3	KCNC1
LANCL1	2.11E-17	0.541805386	0.276	0.098	3.50E-13	Inh_3	LANCL1
LRRTM41	2.24E-17	0.367743241	0.966	0.877	3.73E-13	Inh_3	LRRTM4
SHISA93	5.50E-17	0.508996653	0.746	0.507	9.15E-13	Inh_3	SHISA9
ETV6	1.29E-16	0.578671155	0.319	0.128	2.14E-12	Inh_3	ETV6
SRGAP2C2	1.35E-16	0.538077979	0.457	0.222	2.24E-12	Inh_3	SRGAP2C
SLC44A53	1.57E-16	0.584612922	0.578	0.339	2.61E-12	Inh_3	SLC44A5
CLIP4	1.65E-16	0.494773592	0.345	0.14	2.74E-12	Inh_3	CLIP4
DSCAML12	4.46E-16	0.522215954	0.543	0.3	7.41E-12	Inh_3	DSCAML1
KCNT11	4.92E-16	0.478492727	0.392	0.172	8.19E-12	Inh_3	KCNT1
CNTNAP52	8.87E-16	0.512360707	0.741	0.528	1.48E-11	Inh_3	CNTNAP5
PRKG12	1.37E-15	0.469401859	0.707	0.483	2.28E-11	Inh_3	PRKG1
ANKS1A	2.31E-15	0.623792411	0.345	0.153	3.85E-11	Inh_3	ANKS1A
CKMT1B1	2.36E-15	0.591245209	0.315	0.132	3.92E-11	Inh_3	CKMT1B
FHOD31	3.46E-15	0.568007079	0.444	0.227	5.75E-11	Inh_3	FHOD3
INPP4B2	3.65E-15	0.440296003	0.586	0.335	6.07E-11	Inh_3	INPP4B
DAB13	1.25E-14	0.340795063	0.858	0.6	2.08E-10	Inh_3	DAB1
ARHGAP201	4.21E-14	0.576561037	0.259	0.101	7.01E-10	Inh_3	ARHGAP20
SRRM31	4.79E-14	0.457358983	0.586	0.346	7.97E-10	Inh_3	SRRM3
FAM110B1	6.59E-14	0.464752603	0.276	0.109	1.10E-09	Inh_3	FAM110B
SH3KBP1	7.94E-14	0.485085733	0.384	0.185	1.32E-09	Inh_3	SH3KBP1
SYT141	1.20E-13	0.456267161	0.491	0.271	1.99E-09	Inh_3	SYT14
CNTN42	1.65E-13	0.458954199	0.728	0.519	2.74E-09	Inh_3	CNTN4
TSHZ32	2.71E-13	0.517287295	0.349	0.163	4.50E-09	Inh_3	TSHZ3
SIPA1L31	3.28E-13	0.540288286	0.422	0.219	5.46E-09	Inh_3	SIPA1L3
ASIC22	5.42E-13	0.298811972	0.866	0.675	9.02E-09	Inh_3	ASIC2
FAM49B1	7.02E-13	0.503861644	0.552	0.336	1.17E-08	Inh_3	FAM49B
GALNTL62	7.75E-13	0.510214188	0.69	0.495	1.29E-08	Inh_3	GALNTL6
ATRNL12	1.21E-12	0.331072801	0.875	0.712	2.01E-08	Inh_3	ATRNL1
DLGAP42	1.43E-12	0.504074711	0.461	0.26	2.38E-08	Inh_3	DLGAP4
RASA11	2.06E-12	0.505306983	0.427	0.228	3.43E-08	Inh_3	RASA1
SPARCL11	2.24E-12	0.284478895	0.776	0.544	3.72E-08	Inh_3	SPARCL1
DPP62	2.39E-12	0.324861116	0.866	0.688	3.98E-08	Inh_3	DPP6
AHI12	2.54E-12	0.415487486	0.741	0.592	4.22E-08	Inh_3	AHI1
FAM135B1	2.93E-12	0.500694998	0.444	0.241	4.87E-08	Inh_3	FAM135B
NCALD2	3.99E-12	0.511615644	0.478	0.279	6.63E-08	Inh_3	NCALD
RAB3C2	4.11E-12	0.478525292	0.379	0.193	6.84E-08	Inh_3	RAB3C
ATP1A1	4.30E-12	0.484341424	0.267	0.113	7.16E-08	Inh_3	ATP1A1
GPC61	5.34E-12	0.581013929	0.569	0.373	8.89E-08	Inh_3	GPC6
PKNOX22	8.41E-12	0.500459559	0.448	0.256	1.40E-07	Inh_3	PKNOX2
GNAL2	1.38E-11	0.348972173	0.315	0.141	2.29E-07	Inh_3	GNAL
TAOK31	1.45E-11	0.419222981	0.5	0.285	2.42E-07	Inh_3	TAOK3
LPP1	1.87E-11	0.331662623	0.461	0.246	3.12E-07	Inh_3	LPP
SLC6A13	2.48E-11	0.311762444	0.315	0.138	4.13E-07	Inh_3	SLC6A1
SLC4A102	2.81E-11	0.371536476	0.728	0.536	4.68E-07	Inh_3	SLC4A10
CORO6	3.26E-11	0.511183503	0.336	0.167	5.43E-07	Inh_3	CORO6
SGK1	3.44E-11	0.429522182	0.392	0.207	5.73E-07	Inh_3	SGK1
MDGA22	4.14E-11	0.309236995	0.823	0.664	6.88E-07	Inh_3	MDGA2
KHDRBS21	5.01E-11	0.330559523	0.841	0.646	8.34E-07	Inh_3	KHDRBS2
SLC8A32	5.27E-11	0.460356095	0.276	0.125	8.77E-07	Inh_3	SLC8A3
SOX51	6.08E-11	0.31575877	0.737	0.56	1.01E-06	Inh_3	SOX5
GRM81	6.21E-11	0.458006107	0.336	0.168	1.03E-06	Inh_3	GRM8
OSBPL62	7.28E-11	0.39238565	0.612	0.398	1.21E-06	Inh_3	OSBPL6
GABRB22	8.30E-11	0.431980737	0.612	0.407	1.38E-06	Inh_3	GABRB2
GRM51	1.21E-10	0.341405373	0.841	0.679	2.01E-06	Inh_3	GRM5
NAV1	1.23E-10	0.432938364	0.526	0.328	2.04E-06	Inh_3	NAV1
SEZ6L2	1.64E-10	0.422569508	0.263	0.119	2.73E-06	Inh_3	SEZ6L2
PKD2	1.77E-10	0.438437016	0.401	0.22	2.95E-06	Inh_3	PKD2
PIP5K1B1	2.41E-10	0.352264111	0.297	0.139	4.01E-06	Inh_3	PIP5K1B
TCF12	2.77E-10	0.412356252	0.5	0.31	4.61E-06	Inh_3	TCF12
MCTP12	3.20E-10	0.344720443	0.629	0.408	5.32E-06	Inh_3	MCTP1
ZEB2	3.52E-10	0.42535373	0.526	0.339	5.86E-06	Inh_3	ZEB2
CALN13	4.08E-10	0.41682892	0.586	0.39	6.79E-06	Inh_3	CALN1
ME3	4.60E-10	0.45050023	0.349	0.181	7.66E-06	Inh_3	ME3
MYRIP4	7.65E-10	0.375242804	0.629	0.418	1.27E-05	Inh_3	MYRIP
SFMBT22	8.53E-10	0.406608614	0.362	0.188	1.42E-05	Inh_3	SFMBT2
FAM19A51	9.49E-10	0.399409306	0.444	0.255	1.58E-05	Inh_3	FAM19A5
FHIT1	9.61E-10	0.339495488	0.642	0.444	1.60E-05	Inh_3	FHIT
SRGAP22	1.24E-09	0.387712193	0.431	0.249	2.07E-05	Inh_3	SRGAP2
SHTN11	1.71E-09	0.379938928	0.401	0.224	2.84E-05	Inh_3	SHTN1
ESRRG1	2.29E-09	0.419994984	0.487	0.311	3.80E-05	Inh_3	ESRRG
MAN1A2	5.99E-09	0.286595037	0.444	0.256	9.96E-05	Inh_3	MAN1A2
MEF2C3	6.33E-09	0.319147273	0.819	0.67	0.000105266	Inh_3	MEF2C
OSBP21	9.44E-09	0.385546944	0.504	0.328	0.000157039	Inh_3	OSBP2
ABAT1	9.61E-09	0.415661738	0.297	0.154	0.000159867	Inh_3	ABAT
EML2	9.91E-09	0.392041008	0.315	0.165	0.000164844	Inh_3	EML2
BACH21	1.07E-08	0.412696888	0.332	0.181	0.000178316	Inh_3	BACH2
EFR3B1	1.16E-08	0.409509121	0.341	0.185	0.000193549	Inh_3	EFR3B
SRGAP2B2	1.19E-08	0.437631885	0.397	0.235	0.000197962	Inh_3	SRGAP2B
TMEM132B1	1.39E-08	0.337918785	0.728	0.61	0.000231834	Inh_3	TMEM132B
NSF1	1.67E-08	0.420655053	0.461	0.296	0.000277434	Inh_3	NSF
MMP161	2.04E-08	0.341338469	0.526	0.341	0.000339841	Inh_3	MMP16
RAPGEF43	2.15E-08	0.394272336	0.552	0.385	0.000357597	Inh_3	RAPGEF4
ATP1B11	2.16E-08	0.399580614	0.345	0.192	0.000358837	Inh_3	ATP1B1
NMNAT23	2.98E-08	0.366734091	0.517	0.342	0.000496174	Inh_3	NMNAT2
LHFPL31	3.24E-08	0.399601198	0.297	0.157	0.000539249	Inh_3	LHFPL3
ERC12	3.59E-08	0.334247317	0.599	0.429	0.000596734	Inh_3	ERC1
SLC4A8	4.65E-08	0.425166579	0.379	0.229	0.000773517	Inh_3	SLC4A8
CLEC16A1	4.96E-08	0.360276003	0.487	0.305	0.000825819	Inh_3	CLEC16A
CLVS2	5.10E-08	0.314325499	0.28	0.142	0.00084892	Inh_3	CLVS2
RTN4RL11	6.37E-08	0.339270009	0.345	0.194	0.001059877	Inh_3	RTN4RL1
KIRREL32	6.80E-08	0.432444348	0.659	0.567	0.001131729	Inh_3	KIRREL3
PPM1E1	7.24E-08	0.373290333	0.522	0.352	0.001204586	Inh_3	PPM1E
PPARGC1A	1.14E-07	0.34707286	0.263	0.135	0.001890625	Inh_3	PPARGC1A
NRG2	1.14E-07	0.391693276	0.336	0.193	0.001893056	Inh_3	NRG2
PHF20L1	1.55E-07	0.389404762	0.328	0.187	0.00258224	Inh_3	PHF20L1
FCHSD21	1.67E-07	0.355005267	0.474	0.303	0.002780532	Inh_3	FCHSD2
GRIA33	1.85E-07	0.262394204	0.655	0.46	0.003077198	Inh_3	GRIA3
NCOA22	2.01E-07	0.357211938	0.388	0.236	0.003351942	Inh_3	NCOA2
SERPINI11	2.08E-07	0.419554505	0.289	0.158	0.003463067	Inh_3	SERPINI1
TCF42	2.70E-07	0.273632148	0.707	0.549	0.004497451	Inh_3	TCF4
KCTD81	2.76E-07	0.322738256	0.474	0.299	0.004597048	Inh_3	KCTD8
CDH134	2.78E-07	0.257399047	0.534	0.356	0.004619549	Inh_3	CDH13
ST8SIA51	3.12E-07	0.319604376	0.336	0.197	0.005189172	Inh_3	ST8SIA5
ADRBK21	3.19E-07	0.38935693	0.366	0.223	0.00531342	Inh_3	ADRBK2
THSD7A2	4.24E-07	0.497750228	0.414	0.257	0.007045808	Inh_3	THSD7A
LRRTM32	4.26E-07	0.287039515	0.556	0.378	0.007080835	Inh_3	LRRTM3
PCGF5	5.63E-07	0.36040469	0.28	0.155	0.009366436	Inh_3	PCGF5
KLHL292	8.36E-07	0.461628103	0.345	0.217	0.013906857	Inh_3	KLHL29
DAPK11	8.49E-07	0.302560438	0.418	0.265	0.014117313	Inh_3	DAPK1
SLC35F11	9.23E-07	0.259061193	0.569	0.39	0.015348828	Inh_3	SLC35F1
STXBP61	9.89E-07	0.287513805	0.259	0.137	0.016450791	Inh_3	STXBP6
SPECC11	1.06E-06	0.401843144	0.496	0.362	0.017631651	Inh_3	SPECC1
CACNA1D1	1.22E-06	0.291839205	0.56	0.4	0.020338574	Inh_3	CACNA1D
HOOK21	1.45E-06	0.354050645	0.392	0.248	0.024097165	Inh_3	HOOK2
TEAD11	1.58E-06	0.324068153	0.323	0.188	0.026319417	Inh_3	TEAD1
GAB21	1.76E-06	0.391102932	0.31	0.181	0.029199447	Inh_3	GAB2
CYTH3	1.81E-06	0.40626959	0.263	0.151	0.030117186	Inh_3	CYTH3
OSBPL82	1.87E-06	0.373258306	0.328	0.199	0.031118376	Inh_3	OSBPL8
NQO2	2.02E-06	0.319711713	0.276	0.157	0.033669119	Inh_3	NQO2
GHR1	2.11E-06	0.319090986	0.267	0.149	0.035148702	Inh_3	GHR
PCDH151	2.15E-06	0.332617104	0.431	0.286	0.035785707	Inh_3	PCDH15
VSNL11	2.32E-06	0.29878828	0.362	0.221	0.038554788	Inh_3	VSNL1
C17orf63	2.47E-06	0.322421066	0.362	0.227	0.04107596	Inh_3	C17orf63
SPAG162	2.49E-06	0.375539324	0.362	0.231	0.041478519	Inh_3	SPAG16
EPB41L31	2.58E-06	0.340408988	0.435	0.289	0.042878116	Inh_3	EPB41L3
GRK4	2.68E-06	0.286530542	0.302	0.174	0.044641018	Inh_3	GRK4
PCLO3	2.75E-06	0.256819052	0.625	0.455	0.045714192	Inh_3	PCLO
SH3PXD2A1	3.14E-06	0.2781067	0.328	0.195	0.052163652	Inh_3	SH3PXD2A
DNM32	3.65E-06	0.260197939	0.651	0.51	0.060753748	Inh_3	DNM3
MROH11	4.58E-06	0.271531642	0.353	0.22	0.07619978	Inh_3	MROH1
ESYT2	4.86E-06	0.345861144	0.306	0.188	0.080775362	Inh_3	ESYT2
CDH92	5.28E-06	0.300039791	0.457	0.314	0.087811001	Inh_3	CDH9
AAK11	7.52E-06	0.34593451	0.5	0.36	0.125080977	Inh_3	AAK1
NF1	7.97E-06	0.329790519	0.586	0.447	0.132678801	Inh_3	NF1
CSRNP3	8.98E-06	0.315230351	0.491	0.345	0.149403616	Inh_3	CSRNP3
MAST41	1.01E-05	0.283149363	0.504	0.351	0.167546995	Inh_3	MAST4
MAPRE2	1.59E-05	0.32629456	0.328	0.21	0.264731031	Inh_3	MAPRE2
DAAM11	1.67E-05	0.252256697	0.457	0.31	0.277885812	Inh_3	DAAM1
ADCY12	1.78E-05	0.299980843	0.349	0.227	0.296968041	Inh_3	ADCY1
SYP1	2.09E-05	0.365042041	0.466	0.337	0.347902723	Inh_3	SYP
PTPRS1	2.12E-05	0.27607115	0.496	0.357	0.352419585	Inh_3	PTPRS
TMTC11	2.23E-05	0.368246202	0.272	0.164	0.371270803	Inh_3	TMTC1
ELAVL3	2.76E-05	0.278778296	0.28	0.169	0.458925806	Inh_3	ELAVL3
VPS13C1	3.77E-05	0.259208388	0.422	0.288	0.626736452	Inh_3	VPS13C
PAK71	3.84E-05	0.283075936	0.375	0.252	0.639249872	Inh_3	PAK7
TMEM1081	4.49E-05	0.26305387	0.582	0.459	0.747249508	Inh_3	TMEM108
CAMTA1	5.43E-05	0.261830621	0.625	0.513	0.903377838	Inh_3	CAMTA1
GTF2IRD11	6.11E-05	0.271307201	0.31	0.198	1	Inh_3	GTF2IRD1
CUX11	7.49E-05	0.288540703	0.478	0.353	1	Inh_3	CUX1
C11orf581	9.46E-05	0.28761029	0.276	0.171	1	Inh_3	C11orf58
CHCHD3	0.00013018	0.308568982	0.349	0.237	1	Inh_3	CHCHD3
EPB41L1	0.000186458	0.292926613	0.284	0.187	1	Inh_3	EPB41L1
CBWD5	0.000302065	0.282064516	0.302	0.203	1	Inh_3	CBWD5
RP11-701H24.91	0.000320148	0.27222825	0.427	0.316	1	Inh_3	RP11-701H24.9
INSR	0.000342343	0.286282426	0.371	0.264	1	Inh_3	INSR
SLC23A2	0.000383222	0.255447752	0.306	0.205	1	Inh_3	SLC23A2
KCNJ32	0.000472019	0.255097516	0.353	0.247	1	Inh_3	KCNJ3
TMCC1	0.00049659	0.250056427	0.461	0.343	1	Inh_3	TMCC1
DYM	0.000746868	0.261250951	0.371	0.268	1	Inh_3	DYM
TULP4	0.000928731	0.254797798	0.401	0.302	1	Inh_3	TULP4
FAM193A	0.001030181	0.253612641	0.306	0.213	1	Inh_3	FAM193A
DIS3L2	0.002129527	0.27106712	0.293	0.206	1	Inh_3	DIS3L2
ZNF804B1	0.004969264	0.319360267	0.259	0.189	1	Inh_3	ZNF804B
ST18	1.57E-281	2.571494278	0.815	0.063	2.61E-277	Oligo	ST18
RNF220	1.45E-212	2.471498373	0.799	0.088	2.41E-208	Oligo	RNF220
CD22	8.67E-207	1.160829297	0.299	0.005	1.44E-202	Oligo	CD22
FAM107B	1.13E-181	1.51314365	0.457	0.025	1.87E-177	Oligo	FAM107B
C10orf90	1.68E-178	1.744771376	0.565	0.044	2.79E-174	Oligo	C10orf90
SHROOM4	1.37E-172	1.418065028	0.38	0.016	2.27E-168	Oligo	SHROOM4
TMEM144	3.53E-167	1.916500686	0.663	0.073	5.87E-163	Oligo	TMEM144
ENPP2	5.54E-161	1.494761879	0.435	0.026	9.22E-157	Oligo	ENPP2
MOG	8.35E-161	1.402387097	0.342	0.014	1.39E-156	Oligo	MOG
CNDP1	5.58E-149	1.511418344	0.38	0.021	9.28E-145	Oligo	CNDP1
CERCAM	9.55E-141	1.386547973	0.418	0.029	1.59E-136	Oligo	CERCAM
KCNH8	1.69E-139	1.60414173	0.5	0.045	2.82E-135	Oligo	KCNH8
CTNNA3	4.48E-137	2.315394657	0.875	0.207	7.45E-133	Oligo	CTNNA3
PALM2	1.75E-125	1.646097088	0.554	0.067	2.91E-121	Oligo	PALM2
FA2H	4.90E-121	1.204272371	0.277	0.013	8.15E-117	Oligo	FA2H
FRMD4B	6.08E-121	1.782063794	0.538	0.065	1.01E-116	Oligo	FRMD4B
SLC5A11	7.10E-121	1.466239228	0.353	0.024	1.18E-116	Oligo	SLC5A11
ABCA8	2.66E-115	1.065773882	0.261	0.011	4.43E-111	Oligo	ABCA8
CARNS1	3.42E-115	1.148399461	0.299	0.017	5.70E-111	Oligo	CARNS1
SLAIN1	8.14E-112	1.745155611	0.712	0.14	1.35E-107	Oligo	SLAIN1
TF	2.73E-110	1.545178806	0.457	0.049	4.53E-106	Oligo	TF
PIP4K2A1	1.49E-108	1.825660977	0.707	0.142	2.48E-104	Oligo	PIP4K2A
PLEKHH1	3.12E-106	1.472388587	0.462	0.053	5.18E-102	Oligo	PLEKHH1
MOBP	7.16E-106	1.924183067	0.446	0.05	1.19E-101	Oligo	MOBP
BCAS1	2.38E-105	1.436594019	0.413	0.041	3.96E-101	Oligo	BCAS1
PLLP	1.23E-104	1.026626707	0.261	0.014	2.05E-100	Oligo	PLLP
LPAR1	2.39E-102	1.233412757	0.364	0.031	3.98E-98	Oligo	LPAR1
MBP	9.09E-101	1.956647976	0.913	0.35	1.51E-96	Oligo	MBP
DOCK51	2.34E-100	1.633246031	0.592	0.097	3.90E-96	Oligo	DOCK5
HHIP	3.21E-90	1.459461942	0.397	0.045	5.34E-86	Oligo	HHIP
COL4A5	4.91E-86	1.263040049	0.391	0.045	8.17E-82	Oligo	COL4A5
TMEM165	1.08E-83	1.548987967	0.603	0.125	1.80E-79	Oligo	TMEM165
CLMN	2.52E-83	1.432204389	0.413	0.054	4.19E-79	Oligo	CLMN
CREB5	4.75E-82	1.710408633	0.598	0.125	7.91E-78	Oligo	CREB5
DOCK101	5.10E-82	1.534021567	0.663	0.153	8.48E-78	Oligo	DOCK10
SLC44A1	7.00E-78	1.585586572	0.788	0.27	1.16E-73	Oligo	SLC44A1
POLR2F	3.27E-75	1.474427037	0.538	0.109	5.43E-71	Oligo	POLR2F
SGK11	9.66E-75	1.440326435	0.712	0.195	1.61E-70	Oligo	SGK1
QKI1	3.95E-74	1.533982516	0.924	0.428	6.58E-70	Oligo	QKI
PHLDB1	9.06E-74	1.280187688	0.38	0.051	1.51E-69	Oligo	PHLDB1
ELMO1	1.60E-73	1.468394384	0.745	0.232	2.67E-69	Oligo	ELMO1
DAAM21	2.58E-71	1.250634705	0.446	0.072	4.29E-67	Oligo	DAAM2
RP11-654K19.6	2.90E-71	1.494861063	0.44	0.073	4.83E-67	Oligo	RP11-654K19.6
TP53TG5	2.07E-66	0.964118702	0.283	0.03	3.45E-62	Oligo	TP53TG5
TTYH2	2.56E-63	0.967719159	0.261	0.026	4.25E-59	Oligo	TTYH2
SIK31	1.30E-62	1.581254537	0.87	0.441	2.17E-58	Oligo	SIK3
IL1RAPL13	3.07E-60	1.083413768	0.995	0.775	5.11E-56	Oligo	IL1RAPL1
ZNF5362	4.17E-60	1.21842059	0.614	0.157	6.93E-56	Oligo	ZNF536
PDE4B3	9.41E-60	1.166259782	0.908	0.465	1.56E-55	Oligo	PDE4B
DIP2B	1.69E-59	1.290965694	0.685	0.224	2.80E-55	Oligo	DIP2B
SLC24A23	1.94E-59	1.374683236	0.853	0.398	3.23E-55	Oligo	SLC24A2
PLD1	1.02E-57	1.003481393	0.261	0.03	1.70E-53	Oligo	PLD1
ADIPOR2	9.68E-57	1.037667897	0.38	0.065	1.61E-52	Oligo	ADIPOR2
PLA2G16	2.19E-56	1.058756761	0.283	0.036	3.64E-52	Oligo	PLA2G16
PXK	2.33E-56	1.199378572	0.435	0.087	3.88E-52	Oligo	PXK
ERBIN1	7.42E-56	1.267483834	0.658	0.204	1.23E-51	Oligo	ERBIN
HIP1	6.65E-55	1.187149957	0.435	0.088	1.11E-50	Oligo	HIP1
CDK18	3.84E-54	1.015366328	0.342	0.055	6.39E-50	Oligo	CDK18
NCKAP51	4.22E-53	1.220445029	0.641	0.191	7.02E-49	Oligo	NCKAP5
TMTC22	1.39E-52	1.191774947	0.799	0.327	2.32E-48	Oligo	TMTC2
GSN	8.56E-52	1.081236917	0.413	0.083	1.42E-47	Oligo	GSN
PRUNE21	2.02E-50	1.428197196	0.527	0.151	3.36E-46	Oligo	PRUNE2
FGFR21	3.61E-50	1.136594152	0.424	0.091	6.01E-46	Oligo	FGFR2
ATP10B	1.35E-49	0.986098224	0.342	0.059	2.25E-45	Oligo	ATP10B
PCDH91	2.75E-49	0.716802578	1	0.974	4.58E-45	Oligo	PCDH9
PDE8A	9.67E-49	1.19956404	0.592	0.193	1.61E-44	Oligo	PDE8A
FRYL	1.10E-47	1.139992176	0.668	0.25	1.83E-43	Oligo	FRYL
GLDN	7.60E-47	1.014083848	0.31	0.052	1.27E-42	Oligo	GLDN
ENOX2	8.08E-47	1.092388797	0.37	0.073	1.34E-42	Oligo	ENOX2
PPP2R2B1	2.36E-46	1.302910898	0.967	0.799	3.92E-42	Oligo	PPP2R2B
MAN2A12	6.77E-46	1.207161655	0.592	0.193	1.13E-41	Oligo	MAN2A1
MTUS1	1.58E-43	1.071384172	0.386	0.085	2.63E-39	Oligo	MTUS1
DNAJC6	9.16E-43	1.105816425	0.636	0.24	1.52E-38	Oligo	DNAJC6
TCF121	1.74E-42	1.207579005	0.69	0.304	2.89E-38	Oligo	TCF12
SHTN12	5.52E-42	1.080360274	0.614	0.216	9.18E-38	Oligo	SHTN1
SEMA4D	1.04E-41	1.153525813	0.473	0.133	1.72E-37	Oligo	SEMA4D
FUT8	1.01E-40	1.260647338	0.674	0.282	1.68E-36	Oligo	FUT8
KIF6	2.75E-40	0.875370911	0.277	0.048	4.57E-36	Oligo	KIF6
EDIL32	1.43E-39	1.103751816	0.728	0.326	2.37E-35	Oligo	EDIL3
PLP1	2.00E-39	0.955448467	0.397	0.094	3.33E-35	Oligo	PLP1
ENOSF1	3.41E-39	0.891687113	0.255	0.041	5.67E-35	Oligo	ENOSF1
PHLPP11	1.09E-38	1.130096127	0.652	0.268	1.82E-34	Oligo	PHLPP1
GAB1	5.20E-38	1.094597186	0.413	0.107	8.65E-34	Oligo	GAB1
Sep-71	1.31E-37	1.116174006	0.636	0.278	2.18E-33	Oligo	7-Sep
KIF13B	1.68E-37	1.137681127	0.337	0.076	2.79E-33	Oligo	KIF13B
PLCL1	1.16E-36	1.183896704	0.647	0.283	1.93E-32	Oligo	PLCL1
RFTN21	2.63E-36	0.820834722	0.359	0.081	4.38E-32	Oligo	RFTN2
DLG1	3.98E-36	1.050361313	0.739	0.388	6.62E-32	Oligo	DLG1
ZEB21	4.24E-36	1.027444348	0.707	0.333	7.06E-32	Oligo	ZEB2
SPOCK11	1.31E-35	0.946531027	0.804	0.427	2.18E-31	Oligo	SPOCK1
MOB3B	7.33E-35	1.042763077	0.413	0.116	1.22E-30	Oligo	MOB3B
ELF1	9.47E-35	0.745007283	0.255	0.045	1.58E-30	Oligo	ELF1
ZNF652	1.05E-34	1.037935083	0.457	0.142	1.74E-30	Oligo	ZNF652
ARAP21	1.06E-34	1.042934372	0.625	0.265	1.76E-30	Oligo	ARAP2
DNM33	4.38E-34	0.901348856	0.826	0.504	7.28E-30	Oligo	DNM3
HIPK21	1.09E-33	0.927238114	0.457	0.138	1.81E-29	Oligo	HIPK2
TRIM2	1.16E-33	1.118660772	0.603	0.261	1.93E-29	Oligo	TRIM2
SYNJ21	4.11E-33	0.998803668	0.457	0.144	6.84E-29	Oligo	SYNJ2
FRMD53	6.98E-33	0.879038597	0.842	0.543	1.16E-28	Oligo	FRMD5
KANK11	1.53E-32	0.96678993	0.467	0.148	2.55E-28	Oligo	KANK1
ANO43	6.72E-32	1.110572973	0.549	0.216	1.12E-27	Oligo	ANO4
MYO1D1	1.26E-31	0.980505886	0.571	0.224	2.09E-27	Oligo	MYO1D
LPGAT11	2.20E-31	1.130750414	0.44	0.146	3.66E-27	Oligo	LPGAT1
ZFYVE16	3.47E-31	1.04599226	0.462	0.156	5.78E-27	Oligo	ZFYVE16
IKZF2	7.91E-31	0.878592461	0.255	0.052	1.32E-26	Oligo	IKZF2
APBB2	3.15E-30	0.935696207	0.582	0.244	5.24E-26	Oligo	APBB2
RYBP	3.44E-30	0.895946157	0.304	0.074	5.72E-26	Oligo	RYBP
ZBTB201	3.96E-30	0.678877231	0.804	0.389	6.59E-26	Oligo	ZBTB20
AGPAT41	1.06E-29	1.06840937	0.533	0.217	1.76E-25	Oligo	AGPAT4
SPOCK33	6.93E-29	0.768900109	0.603	0.242	1.15E-24	Oligo	SPOCK3
ANK3	8.03E-29	0.831551948	0.875	0.695	1.34E-24	Oligo	ANK3
ST6GALNAC31	1.81E-28	1.056812172	0.462	0.171	3.02E-24	Oligo	ST6GALNAC3
ZNF708	1.30E-27	0.762479982	0.261	0.059	2.16E-23	Oligo	ZNF708
JAM3	1.92E-27	0.880116952	0.337	0.096	3.19E-23	Oligo	JAM3
TTLL7	2.03E-27	1.033564563	0.685	0.386	3.38E-23	Oligo	TTLL7
